Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,3,HIT_WALL,false,0,2,0,0,0,,,0,0,-5
4,2,4,21,6,ACCELERATING,false,0,2,0,0,0,,,0,0,-5
5,2,4,29,6,HIT_MUD,false,0,3,0,0,0,,,0,0,-8
6,2,4,34,3,HIT_MUD,false,0,4,0,0,0,,,0,0,-11
7,2,4,37,3,ACCELERATING,false,0,4,0,0,0,,,0,0,-11
8,2,4,40,0,HIT_MUD,false,0,5,0,0,0,,,0,0,-14
9,2,4,40,0,FIXED_CAR,false,0,3,0,0,0,,,0,0,-14
10,2,4,43,3,ACCELERATING,false,0,3,0,0,0,,,0,0,-14
11,2,4,49,6,ACCELERATING,false,0,3,0,0,0,,,0,0,-14
12,2,4,55,6,ACCELERATING,false,0,3,0,0,0,,,0,0,-14
13,2,4,61,6,ACCELERATING,false,0,3,0,0,0,,,0,0,-14
14,2,4,67,0,HIT_MUD,false,0,5,0,0,1,,,0,1,-12
15,2,4,67,0,FIXED_CAR,false,0,3,0,0,1,,,0,1,-12
16,2,4,70,3,ACCELERATING,false,0,3,0,0,1,,,0,1,-12
17,2,4,76,6,ACCELERATING,false,0,3,0,0,1,,,0,1,-12
18,2,4,82,6,USED_LIZARD,false,0,3,0,0,0,,,0,1,-12
19,2,4,88,0,HIT_WALL,false,0,5,0,0,0,,,0,1,-20
20,2,4,88,0,FIXED_CAR,false,0,3,0,0,0,,,0,1,-20
21,2,4,91,3,ACCELERATING,false,0,3,0,0,0,,,0,1,-20
22,2,4,97,6,ACCELERATING,false,0,3,0,0,1,,,0,2,-12
23,2,4,103,0,HIT_WALL,false,0,5,0,0,1,,,0,2,-17
24,2,4,103,0,FIXED_CAR,false,0,3,0,0,1,,,0,2,-17
25,2,4,106,3,ACCELERATING,false,0,3,0,0,1,,,0,2,-17
26,2,4,112,6,ACCELERATING,false,0,3,0,0,1,,,0,2,-17
27,2,4,118,6,USED_LIZARD,false,0,3,0,0,0,,,0,2,-17
28,2,4,124,3,HIT_MUD,false,0,4,0,0,0,,,0,2,-20
29,2,4,127,3,ACCELERATING,false,0,4,0,0,0,,,0,2,-20
30,2,4,130,0,HIT_MUD,false,0,5,0,0,0,,,0,2,-26
31,2,4,130,0,FIXED_CAR,false,0,3,0,0,0,,,0,2,-26
32,2,4,133,3,HIT_MUD,false,0,4,0,0,0,,,0,2,-29
33,2,4,136,3,ACCELERATING,false,0,4,0,0,0,,,0,2,-29
34,2,4,139,3,ACCELERATING,false,0,4,0,0,0,,,0,2,-29
35,2,4,142,3,ACCELERATING,false,0,4,0,0,0,,,0,2,-29
36,2,4,145,0,HIT_MUD,false,0,5,0,0,0,,,0,2,-32
37,2,4,145,0,FIXED_CAR,false,0,3,0,0,0,,,0,2,-32
38,2,4,148,3,ACCELERATING,false,0,3,0,0,0,,,0,2,-32
39,2,4,154,6,ACCELERATING,false,0,3,0,0,0,,,0,2,-32
40,2,4,160,0,HIT_MUD,false,0,5,0,0,0,,,0,2,-44
41,2,4,160,0,FIXED_CAR,false,0,3,0,0,0,,,0,2,-44
42,2,4,163,3,ACCELERATING,false,0,3,0,0,0,,,0,2,-44
43,2,4,169,6,ACCELERATING,false,0,3,0,0,0,,,1,2,-40
44,2,4,175,6,ACCELERATING,false,0,3,0,0,0,,,1,2,-40
45,2,4,181,6,ACCELERATING,false,0,3,0,0,1,,,1,2,-36
46,2,4,187,6,ACCELERATING,false,0,3,0,1,1,,,1,2,-32
47,2,4,193,6,ACCELERATING,false,0,3,0,1,1,,,1,2,-32
48,2,4,199,6,ACCELERATING,false,0,3,0,1,1,,,1,2,-32
49,2,4,205,6,ACCELERATING,false,0,3,0,1,1,,,2,2,-28
50,2,4,211,6,ACCELERATING,false,0,3,0,1,1,,,2,2,-28
51,2,4,217,6,USED_LIZARD,false,0,3,0,2,0,,,2,2,-24
52,2,4,223,0,HIT_MUD,false,0,5,0,2,0,,,2,2,-30
53,2,4,223,0,FIXED_CAR,false,0,3,0,2,0,,,2,2,-30
54,2,4,226,3,ACCELERATING,false,0,3,0,2,0,,,2,2,-30
55,2,4,232,3,HIT_MUD,false,0,4,0,3,0,,,2,2,-29
56,2,4,235,3,ACCELERATING,false,0,4,0,3,0,,,2,2,-29
57,2,4,238,0,HIT_MUD,false,0,5,0,3,0,,,2,2,-32
58,2,4,238,0,FIXED_CAR,false,0,3,0,3,0,,,2,2,-32
59,2,4,241,3,HIT_MUD,false,0,4,0,3,0,,,2,2,-35
60,2,4,244,3,ACCELERATING,false,0,4,0,3,0,,,3,2,-31
61,2,4,247,3,ACCELERATING,false,0,4,0,3,0,,,3,2,-31
62,2,4,250,3,ACCELERATING,false,0,4,0,3,0,,,3,2,-31
63,2,4,253,3,ACCELERATING,false,0,4,0,3,0,,,3,2,-31
64,2,4,256,3,ACCELERATING,false,0,4,0,3,0,,,3,3,-27
65,2,4,259,3,ACCELERATING,false,0,4,0,3,0,,,3,3,-27
66,2,4,262,3,ACCELERATING,false,0,4,0,3,0,,,3,3,-27
67,2,4,265,3,ACCELERATING,false,0,4,0,3,0,,,3,3,-27
68,2,4,268,0,HIT_MUD,false,0,5,0,3,0,,,3,3,-30
69,2,4,268,0,FIXED_CAR,false,0,3,0,3,0,,,3,3,-30
70,2,4,271,3,ACCELERATING,false,0,3,0,3,0,,,3,3,-30
71,2,4,277,3,HIT_MUD,false,0,4,0,3,0,,,3,3,-33
72,2,4,280,3,ACCELERATING,false,0,4,0,3,0,,,3,3,-33
73,2,4,283,3,ACCELERATING,false,0,4,0,3,0,,,3,3,-33
74,2,4,286,0,HIT_MUD,false,0,5,0,3,0,,,3,3,-36
75,2,4,286,0,FIXED_CAR,false,0,3,0,3,0,,,3,3,-36
76,2,4,289,3,ACCELERATING,false,0,3,0,3,0,,,3,3,-36
77,2,4,295,6,ACCELERATING,false,0,3,1,3,0,,,3,3,-32
78,2,4,301,6,USED_BOOST,true,5,3,0,3,0,,,3,3,-28
79,2,4,307,6,ACCELERATING,true,4,3,0,3,0,,,4,3,-24
80,2,4,313,6,ACCELERATING,true,3,3,0,3,0,,,4,3,-24
81,2,4,319,6,ACCELERATING,true,2,3,1,3,0,,,4,3,-20
82,2,4,325,6,USED_BOOST,true,5,3,0,3,0,,,4,3,-16
83,2,4,331,3,HIT_MUD,false,0,4,0,3,0,,,4,4,-15
84,2,4,334,3,ACCELERATING,false,0,4,0,3,0,,,4,4,-15
85,2,4,337,3,ACCELERATING,false,0,4,0,3,0,,,4,4,-15
86,2,4,340,3,ACCELERATING,false,0,4,1,3,0,,,4,4,-11
87,2,4,343,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-7
88,2,4,346,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-7
89,2,4,349,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-7
90,2,4,352,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-7
91,2,4,355,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-7
92,2,4,358,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-7
93,2,4,361,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-7
94,2,4,364,0,HIT_WALL,false,0,5,1,3,0,,,4,5,-12
95,2,4,364,0,FIXED_CAR,false,0,3,1,3,0,,,4,5,-12
96,2,4,367,3,ACCELERATING,false,0,3,1,3,0,,,4,5,-12
97,2,4,373,0,HIT_MUD,false,0,5,1,3,0,,,4,5,-24
98,2,4,373,0,FIXED_CAR,false,0,3,1,3,0,,,4,5,-24
99,2,4,376,3,ACCELERATING,false,0,3,1,3,0,,,4,5,-24
100,2,4,382,3,HIT_MUD,false,0,4,1,3,0,,,4,5,-27
101,2,4,385,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-27
102,2,4,388,3,ACCELERATING,false,0,4,1,3,0,,,4,5,-27
103,2,4,391,0,HIT_MUD,false,0,5,1,3,0,,,4,5,-30
104,2,4,391,0,FIXED_CAR,false,0,3,1,3,0,,,4,5,-30
105,2,4,394,3,ACCELERATING,false,0,3,1,3,0,,,4,5,-30
106,2,4,400,6,ACCELERATING,false,0,3,1,3,0,,,4,5,-30
107,2,4,406,3,HIT_MUD,false,0,4,0,3,0,,,4,5,-29
108,2,4,409,0,HIT_MUD,false,0,5,0,3,0,,,4,5,-32
109,2,4,409,0,FIXED_CAR,false,0,3,0,3,0,,,4,5,-32
110,2,4,412,3,ACCELERATING,false,0,3,0,3,0,,,4,5,-32
111,2,4,418,6,ACCELERATING,false,0,3,0,3,0,,,4,5,-32
112,2,4,424,3,HIT_MUD,false,0,4,0,3,0,,,4,5,-35
113,2,4,427,3,ACCELERATING,false,0,4,0,3,0,,,5,5,-31
114,2,4,430,3,ACCELERATING,false,0,4,0,3,0,,,5,5,-31
115,2,4,433,3,ACCELERATING,false,0,4,0,3,0,,,5,6,-27
116,2,4,436,0,HIT_MUD,false,0,5,0,3,0,,,5,6,-30
117,2,4,436,0,FIXED_CAR,false,0,3,0,3,0,,,5,6,-30
118,2,4,439,3,ACCELERATING,false,0,3,0,3,0,,,5,6,-30
119,2,4,445,0,HIT_WALL,false,0,5,0,3,0,,,5,6,-35
120,2,4,445,0,FIXED_CAR,false,0,3,0,3,0,,,5,6,-35
121,2,4,448,0,HIT_WALL,false,0,5,0,3,0,,,5,6,-40
122,2,4,448,0,FIXED_CAR,false,0,3,0,3,0,,,5,6,-40
123,2,4,451,3,ACCELERATING,false,0,3,0,3,0,,,5,6,-40
124,2,4,457,3,HIT_MUD,false,0,4,0,3,0,,,5,6,-43
125,2,4,460,3,ACCELERATING,false,0,4,0,3,0,,,5,6,-43
126,2,4,463,3,ACCELERATING,false,0,4,0,3,0,,,5,6,-43
127,2,4,466,3,ACCELERATING,false,0,4,0,3,0,,,5,6,-43
128,2,4,469,3,ACCELERATING,false,0,4,0,3,1,,,5,6,-39
129,2,4,472,3,ACCELERATING,false,0,4,0,3,1,,,5,6,-39
130,2,4,475,3,ACCELERATING,false,0,4,0,3,1,,,5,6,-39
131,2,4,478,3,ACCELERATING,false,0,4,0,3,1,,,5,6,-39
132,2,4,481,3,ACCELERATING,false,0,4,0,3,1,,,5,6,-39
133,2,4,484,3,ACCELERATING,false,0,4,0,3,1,,,5,6,-39
134,2,4,487,3,ACCELERATING,false,0,4,0,3,1,,,5,6,-39
