Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,1,1,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,1,1,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,1,2,12,6,TURNING_RIGHT,false,0,0,0,0,1,,,0,0,4
4,1,2,20,8,ACCELERATING,false,0,0,0,0,1,,,0,0,4
5,1,2,29,9,ACCELERATING,false,0,0,0,0,1,,,0,0,4
6,1,2,38,9,NOTHING,false,0,0,0,0,1,,,0,0,4
7,1,1,46,3,HIT_WALL,false,0,2,0,0,1,,,1,0,3
8,1,1,52,6,ACCELERATING,false,0,2,0,0,1,,,1,0,3
9,1,1,60,8,ACCELERATING,false,0,2,0,0,1,,,2,0,7
10,1,1,68,8,ACCELERATING,false,0,2,1,1,1,,,2,0,15
11,1,2,75,8,TURNING_RIGHT,false,0,2,1,1,2,,,2,0,19
12,1,2,83,8,ACCELERATING,false,0,2,1,2,2,,,2,0,23
13,1,2,91,8,ACCELERATING,false,0,2,1,2,3,,,2,0,27
14,1,2,99,8,ACCELERATING,false,0,2,1,2,3,,,2,0,27
15,1,2,107,8,ACCELERATING,false,0,2,1,2,3,,,2,1,31
16,1,2,115,8,ACCELERATING,false,0,2,1,2,3,,,2,1,31
17,1,2,123,8,ACCELERATING,false,0,2,1,2,3,,,2,1,31
18,1,3,130,8,TURNING_RIGHT,false,0,2,1,2,3,,,2,2,35
19,1,3,138,8,ACCELERATING,false,0,2,1,2,3,,,2,2,35
20,1,3,146,8,ACCELERATING,false,0,2,1,2,3,,,2,2,35
21,1,3,154,8,ACCELERATING,false,0,2,1,2,3,,,2,2,35
22,1,3,162,8,ACCELERATING,false,0,2,1,2,3,,,2,2,35
23,1,3,170,8,ACCELERATING,false,0,2,1,2,4,,,3,2,43
24,1,3,178,8,ACCELERATING,false,0,2,2,2,4,,,3,2,47
25,1,3,186,8,ACCELERATING,false,0,2,2,2,4,,,3,2,47
26,1,3,194,8,ACCELERATING,false,0,2,2,2,4,,,3,2,47
27,1,2,201,8,TURNING_LEFT,false,0,2,2,3,4,,,3,2,51
28,1,2,209,8,ACCELERATING,false,0,2,2,3,4,,,3,2,51
29,1,2,217,8,ACCELERATING,false,0,2,2,3,4,,,3,2,51
30,1,2,225,8,ACCELERATING,false,0,2,2,3,4,,,4,2,55
31,1,2,233,3,HIT_WALL,false,0,4,2,3,4,,,6,2,58
