Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,3,5,5,TURNING_LEFT,false,0,0,0,0,0,,,0,0,0
3,2,3,11,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,2,3,19,8,ACCELERATING,false,0,0,0,0,1,,,0,0,4
5,2,3,28,9,ACCELERATING,false,0,0,1,0,1,,,0,0,8
6,2,3,43,3,HIT_WALL,false,0,2,0,0,2,,,0,1,15
7,2,3,43,3,FIXED_CAR,false,0,0,0,0,2,,,0,1,15
8,2,3,49,6,ACCELERATING,false,0,0,0,0,2,,,0,1,15
9,2,3,57,8,ACCELERATING,false,0,0,0,0,2,,,0,1,15
10,2,3,66,9,ACCELERATING,false,0,0,0,0,2,,,0,1,15
11,2,3,75,9,ACCELERATING,false,0,0,0,0,2,,,0,1,15
12,2,3,84,9,ACCELERATING,false,0,0,0,0,2,,,0,1,15
13,2,3,93,9,USED_LIZARD,false,0,0,0,0,1,,,0,1,15
14,2,3,102,9,ACCELERATING,false,0,0,0,0,1,,,0,1,15
15,2,3,111,9,ACCELERATING,false,0,0,0,0,1,,,0,1,15
16,2,3,120,9,USED_LIZARD,false,0,0,0,0,0,,,0,1,15
17,2,2,128,6,HIT_MUD,false,0,2,0,0,0,,,0,1,9
18,2,2,128,6,FIXED_CAR,false,0,0,0,0,0,,,0,1,9
19,2,2,136,8,ACCELERATING,false,0,0,0,0,0,,,0,1,9
20,2,3,143,8,TURNING_RIGHT,false,0,0,0,0,0,,,0,1,9
21,2,3,152,9,ACCELERATING,false,0,0,0,0,0,,,0,1,9
22,2,3,161,9,ACCELERATING,false,0,0,0,0,0,,,0,1,9
23,2,3,170,9,ACCELERATING,false,0,0,0,0,0,,,0,1,9
24,2,3,179,9,ACCELERATING,false,0,0,0,0,0,,,0,1,9
25,2,3,188,9,ACCELERATING,false,0,0,0,1,0,,,1,1,17
26,2,4,196,9,TURNING_RIGHT,false,0,0,0,1,0,,,1,1,17
27,2,3,204,9,TURNING_LEFT,false,0,0,0,1,0,,,2,1,21
28,2,3,213,9,USED_TWEET,false,0,0,0,1,0,1,69,1,1,25
29,2,3,222,9,USED_TWEET,false,0,0,0,1,0,1,69,1,1,25
30,2,2,230,9,TURNING_LEFT,false,0,0,0,1,0,1,69,1,1,25
31,2,2,239,9,USED_TWEET,false,0,0,0,1,0,1,69,1,1,25
32,2,2,248,9,USED_TWEET,false,0,0,0,1,0,1,69,1,1,25
33,2,1,256,9,TURNING_LEFT,false,0,0,0,1,0,1,69,1,1,25
34,2,1,265,3,HIT_WALL,false,0,2,0,1,0,1,69,1,1,20
35,2,2,267,3,TURNING_RIGHT,false,0,2,0,1,0,1,69,1,1,20
36,2,2,267,3,FIXED_CAR,false,0,0,0,1,0,1,69,1,1,20
37,2,2,270,3,USED_TWEET,false,0,0,0,1,0,1,69,1,1,20
38,2,2,273,3,USED_TWEET,false,0,0,0,1,0,1,69,1,1,20
39,2,2,276,3,USED_TWEET,false,0,0,0,1,0,1,69,1,1,20
40,2,2,279,3,USED_TWEET,false,0,0,0,1,0,1,69,1,1,20
41,2,2,282,3,USED_TWEET,false,0,0,0,1,0,1,69,1,1,20
42,2,2,285,3,USED_TWEET,false,0,0,0,1,0,1,69,2,1,24
43,2,2,288,3,USED_TWEET,false,0,0,0,1,0,1,69,2,1,24
44,2,2,291,3,USED_TWEET,false,0,0,0,1,0,1,69,2,1,24
45,2,2,294,3,USED_TWEET,false,0,0,0,1,0,1,69,2,1,24
46,2,2,297,3,USED_TWEET,false,0,0,0,1,0,1,69,2,1,24
47,2,3,299,3,TURNING_RIGHT,false,0,0,0,1,0,1,69,2,1,24
48,2,3,302,3,USED_TWEET,false,0,0,0,1,0,1,69,2,1,24
49,2,3,305,3,USED_TWEET,false,0,0,0,1,0,1,69,2,1,24
