Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,7,6,ACCELERATING,false,0,0,0,0,0,,,0,0,0
3,2,4,15,8,ACCELERATING,false,0,0,0,0,0,,,0,0,0
4,2,4,21,3,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
5,2,4,27,6,ACCELERATING,false,0,1,0,0,0,,,0,0,-3
6,2,4,30,3,HIT_MUD,false,0,2,0,0,0,,,0,0,-6
7,2,3,32,3,TURNING_LEFT,false,0,2,1,0,1,,,0,0,2
8,2,3,40,8,USED_BOOST,true,5,2,0,0,1,,,0,1,10
9,2,3,48,8,ACCELERATING,true,4,2,0,0,1,,,0,2,14
10,2,3,56,8,ACCELERATING,true,3,2,0,0,1,,,0,2,14
11,2,3,64,8,ACCELERATING,true,2,2,0,0,1,,,0,2,14
12,2,3,72,8,ACCELERATING,true,1,2,0,1,1,,,1,3,26
13,2,2,79,8,TURNING_LEFT,false,0,2,0,1,1,,,1,3,26
14,2,2,87,8,ACCELERATING,false,0,2,0,1,1,,,1,3,26
15,2,2,95,8,ACCELERATING,false,0,2,0,1,1,,,1,3,26
16,2,2,103,8,ACCELERATING,false,0,2,1,1,1,,,1,3,30
17,2,2,111,8,USED_BOOST,true,5,2,1,1,2,,,1,3,42
18,2,2,119,8,USED_BOOST,true,5,2,0,1,3,,,1,3,50
19,2,2,125,3,HIT_MUD,false,0,3,0,1,3,,,1,3,47
20,2,2,125,3,FIXED_CAR,false,0,1,0,1,3,,,1,3,47
21,2,2,131,3,HIT_MUD,false,0,3,0,1,3,,,1,3,41
22,2,2,131,3,FIXED_CAR,false,0,1,0,1,3,,,1,3,41
23,2,1,133,3,TURNING_LEFT,false,0,1,0,1,3,,,1,3,41
24,2,1,139,6,ACCELERATING,false,0,1,0,1,3,,,1,3,41
25,2,1,147,6,HIT_MUD,false,0,2,0,1,3,,,2,3,42
26,2,1,155,8,ACCELERATING,false,0,2,0,2,3,,,2,3,46
27,2,1,163,8,ACCELERATING,false,0,2,0,2,3,,,2,3,46
28,2,1,169,3,HIT_MUD,false,0,3,0,2,3,,,2,3,43
29,2,1,169,3,FIXED_CAR,false,0,1,0,2,3,,,2,3,43
30,2,2,171,3,TURNING_RIGHT,false,0,1,0,2,3,,,2,3,43
31,2,2,177,6,ACCELERATING,false,0,1,0,2,3,,,2,3,43
32,2,2,185,8,ACCELERATING,false,0,1,1,2,4,,,2,3,51
33,2,2,194,9,USED_BOOST,true,5,1,0,2,4,,,2,3,55
34,2,2,203,9,USED_LIZARD,true,4,1,0,2,3,,,2,3,55
35,2,2,212,9,USED_LIZARD,true,3,1,0,2,2,,,2,3,55
36,2,2,221,9,USED_LIZARD,true,2,1,0,2,1,,,2,3,55
37,2,2,230,8,HIT_MUD,false,0,2,0,2,0,,,2,3,52
38,2,1,237,8,TURNING_LEFT,false,0,2,0,2,0,,,2,3,52
39,2,1,245,8,ACCELERATING,false,0,2,0,2,0,,,3,3,56
40,2,1,253,8,ACCELERATING,false,0,2,0,2,0,,,3,3,56
41,2,2,260,8,TURNING_RIGHT,false,0,2,0,2,0,,,3,3,56
42,2,2,266,6,DECELERATING,false,0,2,0,2,0,,,3,3,56
43,2,2,269,3,DECELERATING,false,0,2,0,2,0,,,3,3,56
44,2,3,271,3,TURNING_RIGHT,false,0,2,0,2,1,,,3,3,60
45,2,4,273,3,TURNING_RIGHT,false,0,2,0,2,2,,,3,3,64
46,2,4,279,6,ACCELERATING,false,0,2,0,2,2,,,3,3,64
47,2,4,287,6,HIT_MUD,false,0,3,0,2,2,,,3,3,61
48,2,4,287,6,FIXED_CAR,false,0,1,0,2,2,,,3,3,61
49,2,4,290,3,DECELERATING,false,0,1,0,2,2,,,3,3,61
50,2,3,292,3,TURNING_LEFT,false,0,1,0,2,3,,,3,3,65
51,2,3,298,6,ACCELERATING,false,0,1,1,2,3,,,3,3,69
52,2,3,307,9,USED_BOOST,true,5,1,0,2,3,,,3,3,73
53,2,3,316,9,USED_LIZARD,true,4,1,0,2,2,,,3,4,77
54,2,3,325,9,USED_LIZARD,true,3,1,0,2,1,,,3,4,77
55,2,3,334,9,USED_LIZARD,true,2,1,0,2,0,,,3,4,77
56,2,2,342,9,TURNING_LEFT,true,1,1,0,2,0,,,3,4,77
57,2,2,351,9,ACCELERATING,false,0,1,0,2,1,,,3,4,81
58,2,2,360,9,USED_LIZARD,false,0,1,0,2,0,,,3,4,81
59,2,1,368,9,TURNING_LEFT,false,0,1,0,2,0,,,3,4,81
60,2,1,377,9,ACCELERATING,false,0,1,1,2,0,,,3,4,85
61,2,1,385,8,DECELERATING,false,0,1,1,2,0,,,4,4,89
62,2,1,391,3,HIT_MUD,false,0,3,1,2,0,,,4,4,83
63,2,1,391,3,FIXED_CAR,false,0,1,1,2,0,,,4,4,83
64,2,2,393,3,TURNING_RIGHT,false,0,1,1,2,1,,,4,4,87
65,2,2,402,9,USED_BOOST,true,5,1,1,2,2,,,4,4,99
66,2,2,411,9,USED_LIZARD,true,4,1,1,2,1,,,4,4,99
67,2,2,420,9,USED_LIZARD,true,3,1,1,2,0,,,4,5,103
68,2,2,429,9,USED_BOOST,true,5,1,0,2,0,,,5,6,115
69,2,1,437,9,TURNING_LEFT,true,4,1,0,2,0,,,5,6,115
70,2,1,446,9,ACCELERATING,true,3,1,0,2,0,,,5,6,115
71,2,1,454,8,DECELERATING,false,0,1,0,2,0,,,5,7,119
72,2,1,463,9,ACCELERATING,false,0,1,0,2,0,,,5,7,119
73,2,1,472,9,ACCELERATING,false,0,1,1,2,0,,,5,7,123
74,2,1,481,9,USED_BOOST,true,5,1,0,2,0,,,6,7,131
75,2,2,489,9,TURNING_RIGHT,true,4,1,0,2,0,,,6,7,131
76,2,2,498,9,ACCELERATING,true,3,1,0,2,0,,,6,7,131
77,2,3,506,9,TURNING_RIGHT,true,2,1,0,2,0,,,7,7,135
78,2,3,515,9,ACCELERATING,true,1,1,1,2,0,,,7,7,139
79,2,3,523,8,DECELERATING,false,0,1,1,2,0,,,7,7,139
80,2,3,529,3,HIT_WALL,false,0,3,1,2,0,,,7,7,134
81,2,3,529,3,FIXED_CAR,false,0,1,1,2,0,,,7,7,134
82,2,2,531,3,TURNING_LEFT,false,0,1,1,2,0,,,7,7,134
83,2,2,540,9,USED_BOOST,true,5,1,0,2,0,,,7,7,138
84,2,2,549,9,NOTHING,true,4,1,0,2,0,,,8,7,142
85,2,1,557,8,HIT_MUD,false,0,2,0,2,0,,,8,7,139
86,2,1,563,3,HIT_MUD,false,0,4,0,2,0,,,8,7,133
87,2,1,563,3,FIXED_CAR,false,0,2,0,2,0,,,8,7,133
88,2,2,565,3,TURNING_RIGHT,false,0,2,0,2,0,,,8,7,133
89,2,2,571,6,ACCELERATING,false,0,2,0,2,0,,,8,7,133
90,2,2,579,8,ACCELERATING,false,0,2,0,2,0,,,8,7,133
91,2,2,587,8,ACCELERATING,false,0,2,0,2,1,,,8,7,137
92,2,2,593,6,DECELERATING,false,0,2,0,2,1,,,8,7,137
93,2,2,596,3,DECELERATING,false,0,2,0,2,1,,,8,7,137
94,2,1,598,3,TURNING_LEFT,false,0,2,0,2,1,,,8,7,137
95,2,1,604,6,ACCELERATING,false,0,2,1,2,1,,,8,7,141
96,2,1,612,8,USED_BOOST,true,5,2,0,2,1,,,8,7,145
97,2,1,620,8,ACCELERATING,true,4,2,0,2,1,,,8,8,149
98,2,1,626,3,HIT_WALL,false,0,4,0,2,1,,,8,8,144
99,2,1,626,3,FIXED_CAR,false,0,2,0,2,1,,,8,8,144
100,2,1,632,3,HIT_MUD,false,0,3,0,2,1,,,8,9,145
101,2,1,632,3,FIXED_CAR,false,0,1,0,2,1,,,8,9,145
102,2,1,638,6,ACCELERATING,false,0,1,0,2,1,,,8,9,145
103,2,1,641,3,DECELERATING,false,0,1,0,2,1,,,8,9,145
104,2,2,643,3,TURNING_RIGHT,false,0,1,0,2,1,,,8,9,145
105,2,2,649,6,ACCELERATING,false,0,1,0,2,1,,,8,9,145
106,2,2,657,8,ACCELERATING,false,0,1,0,2,1,,,9,9,149
107,2,2,666,9,ACCELERATING,false,0,1,1,2,1,,,9,9,153
108,2,2,675,9,USED_LIZARD,false,0,1,1,2,0,,,9,9,153
109,2,1,683,9,TURNING_LEFT,false,0,1,1,2,0,,,9,9,153
110,2,1,692,9,USED_BOOST,true,5,1,0,3,0,,,10,9,165
111,2,1,701,8,HIT_MUD,false,0,2,1,3,0,,,10,9,166
112,2,1,707,6,DECELERATING,false,0,2,1,3,0,,,10,9,166
113,2,1,710,3,DECELERATING,false,0,2,1,3,0,,,10,9,166
114,2,2,712,3,TURNING_RIGHT,false,0,2,1,3,0,,,10,9,166
115,2,2,720,8,USED_BOOST,true,5,2,0,3,0,,,10,9,170
116,2,2,728,8,ACCELERATING,true,4,2,0,3,0,,,10,9,170
117,2,2,736,8,ACCELERATING,true,3,2,0,3,0,,,10,9,170
118,2,2,744,8,ACCELERATING,true,2,2,0,3,0,,,10,9,170
119,2,2,752,8,ACCELERATING,true,1,2,0,3,0,,,11,9,174
120,2,2,760,8,ACCELERATING,false,0,2,1,3,0,,,11,9,178
121,2,1,767,8,TURNING_LEFT,false,0,2,2,3,0,,,11,9,182
122,2,1,775,8,USED_BOOST,true,5,2,1,4,0,,,11,9,190
123,2,1,783,8,USED_BOOST,true,5,2,0,4,0,,,11,9,194
124,2,1,791,8,ACCELERATING,true,4,2,0,4,0,,,11,9,194
125,2,1,799,8,ACCELERATING,true,3,2,1,5,0,,,11,9,202
126,2,1,807,8,USED_BOOST,true,5,2,0,5,0,,,11,9,206
127,2,1,815,8,ACCELERATING,true,4,2,0,6,0,,,11,9,210
128,2,1,823,8,ACCELERATING,true,3,2,0,6,0,,,11,9,210
129,2,1,831,8,ACCELERATING,true,2,2,0,6,0,,,11,9,210
130,2,1,837,6,DECELERATING,false,0,2,0,6,0,,,11,9,210
131,2,1,840,3,DECELERATING,false,0,2,0,6,0,,,11,9,210
132,2,2,842,3,TURNING_RIGHT,false,0,2,0,6,0,,,11,9,210
133,2,2,848,6,ACCELERATING,false,0,2,1,6,0,,,11,9,214
134,2,2,856,8,USED_BOOST,true,5,2,0,7,0,,,11,9,222
135,2,2,864,8,ACCELERATING,true,4,2,0,7,0,,,11,9,222
136,2,2,870,3,HIT_MUD,false,0,3,0,7,0,,,12,9,223
