Round,PlayerId,Position:Y,Position:X,Speed,State,Boosting,Boost-Counter,Damage,#Boosts,#Oil,#Lizards,LastCyberTruck:Y,LastCyberTruck:X,#Tweets,#EMPs,Score
1,2,4,1,5,READY,false,0,0,0,0,0,,,0,0,0
2,2,4,6,5,NOTHING,false,0,0,0,0,0,,,0,0,0
3,2,4,12,3,HIT_MUD,false,0,1,0,0,0,,,0,0,-3
4,2,4,18,6,ACCELERATING,false,0,1,0,0,0,,,1,0,1
5,2,4,21,3,DECELERATING,false,0,1,0,0,0,,,1,0,1
6,2,3,23,3,TURNING_LEFT,false,0,1,1,0,0,,,1,0,5
7,2,3,32,3,HIT_MUD,false,0,4,0,0,0,,,1,0,1
8,2,3,32,3,FIXED_CAR,false,0,2,0,0,0,,,1,0,1
9,2,2,34,3,TURNING_LEFT,false,0,2,0,0,0,,,1,0,1
10,2,2,40,6,ACCELERATING,false,0,2,0,0,0,,,2,0,5
11,2,2,48,8,ACCELERATING,false,0,2,0,0,0,,,2,1,9
12,2,2,54,6,DECELERATING,false,0,2,0,0,0,,,2,1,9
13,2,2,62,8,ACCELERATING,false,0,2,0,0,0,,,2,1,9
14,2,2,70,8,ACCELERATING,false,0,2,0,0,0,,,2,1,9
15,2,2,78,8,ACCELERATING,false,0,2,0,0,0,,,2,1,9
16,2,2,84,3,HIT_MUD,false,0,3,0,0,0,,,2,1,6
17,2,2,84,3,FIXED_CAR,false,0,1,0,0,0,,,2,1,6
18,2,2,90,6,ACCELERATING,false,0,1,0,0,0,,,2,1,6
19,2,2,98,8,ACCELERATING,false,0,1,0,0,0,,,2,1,6
20,2,2,107,9,ACCELERATING,false,0,1,0,0,0,,,3,1,10
21,2,2,116,9,ACCELERATING,false,0,1,0,0,0,,,4,2,18
22,2,2,125,9,ACCELERATING,false,0,1,0,0,0,,,4,2,18
23,2,2,134,9,ACCELERATING,false,0,1,0,0,0,,,4,2,18
24,2,2,143,9,ACCELERATING,false,0,1,1,0,0,,,4,2,22
25,2,2,151,8,DECELERATING,false,0,1,1,0,0,,,4,2,22
26,2,1,158,8,TURNING_LEFT,false,0,1,1,0,0,,,4,2,22
27,2,1,167,9,USED_BOOST,true,5,1,0,0,0,,,4,2,26
28,2,1,176,9,ACCELERATING,true,4,1,0,0,0,,,4,2,26
29,2,1,184,6,HIT_MUD,false,0,2,0,0,0,,,4,2,23
30,2,1,192,8,ACCELERATING,false,0,2,0,0,0,,,4,2,23
31,2,1,200,8,ACCELERATING,false,0,2,0,1,0,,,4,2,27
32,2,1,206,6,DECELERATING,false,0,2,0,1,0,,,4,2,27
33,2,1,214,8,ACCELERATING,false,0,2,0,1,0,,,4,2,27
